region_id,NAME_1,UA_NAME,region_code,region
24,Vinnytsya,Вінницька,1,Вінницька
25,Volyn,Волинська,2,Волинська
5,Dnipropetrovs'k,Дніпропетровська,3,Дніпропетровська
6,Donets'k,Донецька,4,Донецька
27,Zhytomyr,Житомирська,5,Житомирська
23,Transcarpathia,Закарпатська,6,Закарпатська
26,Zaporizhzhya,Запорізька,7,Запорізька
7,Ivano-Frankivs'k,Івано-Франківська,8,Івано-Франківська
11,Kiev City,місто Київ,9,Київ
12,Kiev,Київська,10,Київська
13,Kirovohrad,Кіровоградська,11,Кіровоградська
4,Crimea,АР Крим,12,АР Крим
15,Luhans'k,Луганська,13,Луганська
14,L'viv,Львівська,14,Львівська
16,Mykolayiv,Миколаївська,15,Миколаївська
17,Odessa,Одеська,16,Одеська
18,Poltava,Полтавська,17,Полтавська
19,Rivne,Рівненська,18,Рівненська
20,Sevastopol',місто Севастополь,19,Севастополь
21,Sumy,Сумська,20,Сумська
22,Ternopil',Тернопільська,21,Тернопільська
8,Kharkiv,Харківська,22,Харківська
9,Kherson,Херсонська,23,Херсонська
10,Khmel'nyts'kyy,Хмельницька,24,Хмельницька
1,Cherkasy,Черкаська,25,Черкаська
3,Chernivtsi,Чернівецька,26,Чернівецька
2,Chernihiv,Чернігівська,27,Чернігівська
