ID_1,NAME_1,UA_NAME,region,region_code,region_id
1,Cherkasy,Черкаська,Черкаська,25,1
2,Chernihiv,Чернігівська,Чернігівська,27,2
3,Chernivtsi,Чернівецька,Чернівецька,26,3
4,Crimea,АР Крим,АР Крим,12,4
5,Dnipropetrovs'k,Дніпропетровська,Дніпропетровська,3,5
6,Donets'k,Донецька,Донецька,4,6
7,Ivano-Frankivs'k,Івано-Франківська,Івано-Франківська,8,7
8,Kharkiv,Харківська,Харківська,22,8
9,Kherson,Херсонська,Херсонська,23,9
10,Khmel'nyts'kyy,Хмельницька,Хмельницька,24,10
11,Kiev City,місто Київ,Київ,9,11
12,Kiev,Київська,Київська,10,12
13,Kirovohrad,Кіровоградська,Кіровоградська,11,13
14,L'viv,Львівська,Львівська,14,14
15,Luhans'k,Луганська,Луганська,13,15
16,Mykolayiv,Миколаївська,Миколаївська,15,16
17,Odessa,Одеська,Одеська,16,17
18,Poltava,Полтавська,Полтавська,17,18
19,Rivne,Рівненська,Рівненська,18,19
20,Sevastopol',місто Севастополь,Севастополь,19,20
21,Sumy,Сумська,Сумська,20,21
22,Ternopil',Тернопільська,Тернопільська,21,22
23,Transcarpathia,Закарпатська,Закарпатська,6,23
24,Vinnytsya,Вінницька,Вінницька,1,24
25,Volyn,Волинська,Волинська,2,25
26,Zaporizhzhya,Запорізька,Запорізька,7,26
27,Zhytomyr,Житомирська,Житомирська,5,27
